"name","X2D_1.MaxLFQ.Intensity","X2D_2.MaxLFQ.Intensity","X2D_3.MaxLFQ.Intensity","X3D_1.MaxLFQ.Intensity","X3D_2.MaxLFQ.Intensity","X3D_3.MaxLFQ.Intensity","Protein","Protein.ID","Entry.Name","Gene","Protein.Length","Organism","Protein.Existence","Description","Protein.Probability","Top.Peptide.Probability","Combined.Total.Peptides","Combined.Spectral.Count","Combined.Unique.Spectral.Count","Combined.Total.Spectral.Count","X2D_1.Spectral.Count","X2D_2.Spectral.Count","X2D_3.Spectral.Count","X3D_1.Spectral.Count","X3D_2.Spectral.Count","X3D_3.Spectral.Count","X2D_1.Unique.Spectral.Count","X2D_2.Unique.Spectral.Count","X2D_3.Unique.Spectral.Count","X3D_1.Unique.Spectral.Count","X3D_2.Unique.Spectral.Count","X3D_3.Unique.Spectral.Count","X2D_1.Total.Spectral.Count","X2D_2.Total.Spectral.Count","X2D_3.Total.Spectral.Count","X3D_1.Total.Spectral.Count","X3D_2.Total.Spectral.Count","X3D_3.Total.Spectral.Count","X2D_1.Intensity","X2D_2.Intensity","X2D_3.Intensity","X3D_1.Intensity","X3D_2.Intensity","X3D_3.Intensity","Indistinguishable.Proteins","imputed","num_NAs","X2D_vs_X3D_CI.L","X2D_vs_X3D_CI.R","X2D_vs_X3D_diff","X2D_vs_X3D_p.adj","X2D_vs_X3D_p.val","significant","X2D_vs_X3D_significant"
"A6NHR9",23.5347081284534,23.5891815951966,23.5885857491537,23.503924220523,23.3833145827677,23.4297973494049,"sp|A6NHR9|SMHD1_HUMAN","A6NHR9","SMHD1_HUMAN","SMCHD1",2005,"Homo sapiens","1:Experimental evidence at protein level","Structural maintenance of chromosomes flexible hinge domain-containing protein 1",1,0.999,28,215,215,215,31,36,38,35,41,34,31,36,38,35,41,34,31,36,38,35,41,34,99155310,119759410,102134264,96954090,86832590,85348584,"",FALSE,0,-0.0280797432532404,0.2917059566586,0.13181310670268,0.17007138083519,0.0926387021203253,FALSE,FALSE
"A8MWD9",26.0742973069913,26.417477556054,26.3573472552305,26.1556926020332,26.3966897309656,26.8568661168861,"sp|A8MWD9|RUXGL_HUMAN","A8MWD9","RUXGL_HUMAN","SNRPGP15",76,"Homo sapiens","5:Protein uncertain","Putative small nuclear ribonucleoprotein G-like protein 15",0.9999,0.999,3,26,0,26,5,4,3,4,6,4,0,0,0,0,0,0,5,4,3,4,6,4,87958104,106018790,98740230,83537304,95827810,103208110,"sp|P62308|RUXG_HUMAN",FALSE,0,-0.616072041106395,0.24265448670037,-0.186708777203012,0.456633451854266,0.339860775235045,FALSE,FALSE
"C9JI98",21.7099267912832,21.3673714496097,21.4513935001886,21.7148315941017,21.7671604217657,21.7888042647578,"sp|C9JI98|TM238_HUMAN","C9JI98","TM238_HUMAN","TMEM238",176,"Homo sapiens","1:Experimental evidence at protein level","Transmembrane protein 238",0.9996,0.999,2,12,12,12,2,1,0,3,2,4,2,1,0,3,2,4,2,1,0,3,2,4,5415157,4730177,4933493.5,5424101,5583676.5,5706421,"",FALSE,0,-0.481361135645423,-0.0133752240503345,-0.247368179847879,0.092618377466466,0.0409308587440407,FALSE,FALSE
"C9JLW8",21.4172144634083,21.2269013376205,21.418678760482,21.8335387726953,21.7493951404227,21.9691335328399,"sp|C9JLW8|MCRI1_HUMAN","C9JLW8","MCRI1_HUMAN","MCRIP1",97,"Homo sapiens","1:Experimental evidence at protein level","Mapk-regulated corepressor-interacting protein 1",1,0.999,5,36,36,36,7,6,3,8,5,7,7,6,3,8,5,7,7,6,3,8,5,7,8873349,6948805,4210756.5,11387755,10927308,12406521,"",FALSE,0,-0.710251527568131,-0.282597062063234,-0.496424294815682,0.00727598578868716,0.000855006466750301,FALSE,FALSE
"E9PAV3",26.3132978691999,26.2147416938224,26.301909618011,26.3451243364069,26.2787504590467,26.0229874524974,"sp|E9PAV3|NACAM_HUMAN","E9PAV3","NACAM_HUMAN","NACA",2078,"Homo sapiens","1:Experimental evidence at protein level","Nascent polypeptide-associated complex subunit alpha, muscle-specific form",1,0.999,9,216,0,216,35,36,37,38,34,36,0,0,0,0,0,0,35,36,37,38,34,36,350685980,353109280,347622620,360950800,357786750,301517800,"sp|Q13765|NACA_HUMAN",FALSE,0,-0.169715668869903,0.291773624258082,0.0610289776940895,0.661163448404569,0.553372897110694,FALSE,FALSE
"E9PRG8",23.1960314375143,23.0768697336257,23.115375188412,22.8506607119488,22.6644236293749,22.8984906800231,"sp|E9PRG8|RSMC_HUMAN","E9PRG8","RSMC_HUMAN","RSMC",123,"Homo sapiens","1:Experimental evidence at protein level","28S rRNA/ribosome and sororin micro-cofactor",1,0.999,6,57,57,57,11,8,13,8,11,6,11,8,13,8,11,6,11,8,13,8,11,6,36593256,28774810,39681520,24157540,20795584,24136348,"",FALSE,0,0.124524161811402,0.525276730325358,0.32490044606838,0.0232572057365742,0.00624546010101569,FALSE,FALSE
"O00116",24.1782910051817,24.4019737182209,24.1556477513169,23.8444787855703,23.7681575646594,23.855974638771,"sp|O00116|ADAS_HUMAN","O00116","ADAS_HUMAN","AGPS",658,"Homo sapiens","1:Experimental evidence at protein level","Alkyldihydroxyacetonephosphate synthase, peroxisomal",1,0.999,26,203,203,203,37,41,37,31,31,26,37,41,37,31,31,26,37,41,37,31,31,26,182241810,188922640,210417890,118597720,122422400,118527310,"",FALSE,0,0.217471441917665,0.627396215228239,0.422433828572952,0.0106633106065184,0.00171229278823319,FALSE,FALSE
"O00139",23.0801147042511,23.1317638797371,23.0760974430012,23.1580098951063,23.0863257700494,23.030828926348,"sp|O00139|KIF2A_HUMAN","O00139","KIF2A_HUMAN","KIF2A",706,"Homo sapiens","1:Experimental evidence at protein level","Kinesin-like protein KIF2A",1,0.999,15,138,123,138,23,23,20,24,22,26,20,21,17,21,20,24,23,23,20,24,22,26,65060508,70956920,71826300,69533580,72079120,62102260,"",FALSE,0,-0.156735628207266,0.165276585197682,0.0042704784952079,0.969167406359491,0.951992956683001,FALSE,FALSE
"O00148",24.3902858771097,24.3581276037991,24.1926603413219,24.1005526268188,24.0997097782807,24.0179715740333,"sp|O00148|DX39A_HUMAN","O00148","DX39A_HUMAN","DDX39A",427,"Homo sapiens","1:Experimental evidence at protein level","ATP-dependent RNA helicase DDX39A",1,0.999,27,121,121,555,20,21,18,20,22,20,20,21,18,20,22,20,94,87,87,98,93,96,93200296,101027750,95378630,83901100,81361900,77794104,"",FALSE,0,0.0550703456742586,0.426822883057683,0.240946614365971,0.0493382201471358,0.0179839695574483,FALSE,FALSE
"O00151",24.5952449590121,24.5079114778346,24.5375170222492,24.7297515238477,24.7773981029197,24.5531389609523,"sp|O00151|PDLI1_HUMAN","O00151","PDLI1_HUMAN","PDLIM1",329,"Homo sapiens","1:Experimental evidence at protein level","PDZ and LIM domain protein 1",1,0.999,17,219,219,219,37,39,30,42,37,34,37,39,30,42,37,34,37,39,30,42,37,34,192741710,180009310,188462160,216096030,188209020,176814290,"",FALSE,0,-0.332311275567496,0.05256785648496,-0.139871709541268,0.220964752438649,0.130073594948882,FALSE,FALSE
"O00154",24.3390770034703,24.05863340767,24.228244016415,24.128013678808,24.0105410814731,24.0089399350546,"sp|O00154|BACH_HUMAN","O00154","BACH_HUMAN","ACOT7",380,"Homo sapiens","1:Experimental evidence at protein level","Cytosolic acyl coenzyme A thioester hydrolase",1,0.999,9,93,93,93,20,13,15,17,13,15,20,13,15,17,13,15,20,13,15,17,13,15,76058160,63925696,73253080,67886020,63798116,74916740,"",FALSE,0,-0.0547098356994366,0.373682990512544,0.159486577406554,0.210366244985349,0.122331297860891,FALSE,FALSE
"O00159",23.9501775530473,24.1809515591508,23.9825662004499,23.7586094463828,24.0417304962394,23.8389461365823,"sp|O00159|MYO1C_HUMAN","O00159","MYO1C_HUMAN","MYO1C",1063,"Homo sapiens","1:Experimental evidence at protein level","Unconventional myosin-Ic",1,0.999,44,398,398,398,65,75,68,64,73,53,65,75,68,64,73,53,65,75,68,64,73,53,278498980,308130750,247488720,230397650,261895400,211382740,"",FALSE,0,-0.0835239940020677,0.399796816297755,0.158136411147844,0.26666000284243,0.166698851286175,FALSE,FALSE
"O00161",23.2881262496748,23.0820702444938,23.6214369788155,23.2288950029125,23.552613636967,23.5067952071908,"sp|O00161|SNP23_HUMAN","O00161","SNP23_HUMAN","SNAP23",211,"Homo sapiens","1:Experimental evidence at protein level","Synaptosomal-associated protein 23",1,0.999,6,35,35,35,5,5,6,7,7,5,5,5,6,7,7,5,5,5,6,7,7,5,18228618,14032924,43078050,15624062,57629490,21838922,"",FALSE,0,-0.456043314845266,0.258263065454562,-0.0988901246953517,0.644126401003138,0.53542568065937,FALSE,FALSE
"O00170",24.4850036632261,24.4785115399813,24.4380878743143,24.5941740024488,24.6757363400353,24.5893208305869,"sp|O00170|AIP_HUMAN","O00170","AIP_HUMAN","AIP",330,"Homo sapiens","1:Experimental evidence at protein level","AH receptor-interacting protein",1,0.999,14,182,182,182,31,32,28,34,31,26,31,32,28,34,31,26,31,32,28,34,31,26,137589140,126551540,125610936,155255300,141923760,131484010,"",FALSE,0,-0.30700478265666,0.00191938562380572,-0.152542698516427,0.110864739439978,0.052228535919379,FALSE,FALSE
"O00178",22.2983420229776,22.3456197847406,22.2761131853044,22.5582932963253,22.5985912968556,22.5138779202495,"sp|O00178|GTPB1_HUMAN","O00178","GTPB1_HUMAN","GTPBP1",669,"Homo sapiens","1:Experimental evidence at protein level","GTP-binding protein 1",1,0.999,12,59,59,59,7,8,7,12,10,15,7,8,7,12,10,15,7,8,7,12,10,15,31842588,28863688,27586198,35989140,33268894,27205358,"",FALSE,0,-0.404863004709478,-0.0955953422291791,-0.250229173469329,0.0234604508432531,0.00630917472787023,FALSE,FALSE
"O00186",24.4942847914408,24.5269637371811,24.4032208954826,24.5066397851896,24.3947794227513,24.3514032504127,"sp|O00186|STXB3_HUMAN","O00186","STXB3_HUMAN","STXBP3",592,"Homo sapiens","1:Experimental evidence at protein level","Syntaxin-binding protein 3",1,0.999,13,69,69,69,13,11,10,7,13,15,13,11,10,7,13,15,13,11,10,7,13,15,70233980,71505600,28893920,55221360,38953620,43840616,"",FALSE,0,-0.120339695912291,0.23477100641294,0.0572156552503245,0.588030696859035,0.472895764482549,FALSE,FALSE
"O00193",24.5735883673249,24.0855223818815,23.7617235788826,24.6483549485832,24.380649449784,24.2277667822432,"sp|O00193|SMAP_HUMAN","O00193","SMAP_HUMAN","SMAP",183,"Homo sapiens","1:Experimental evidence at protein level","Small acidic protein",1,0.999,3,63,63,63,10,8,10,11,12,12,10,8,10,11,12,12,10,8,10,11,12,12,45485052,32509096,24360504,50339676,42957508,36390564,"",FALSE,0,-0.765670917648718,0.208379682634442,-0.278645617507138,0.329422055974615,0.219494957688648,FALSE,FALSE
"O00194",23.6210209381748,23.7947270005432,23.5663839167245,23.6985051249501,24.0009878740152,23.6431275698569,"sp|O00194|RB27B_HUMAN","O00194","RB27B_HUMAN","RAB27B",218,"Homo sapiens","1:Experimental evidence at protein level","Ras-related protein Rab-27B",1,0.999,7,68,51,68,11,12,8,14,11,12,7,9,6,11,9,9,11,12,8,14,11,12,39099610,40768350,36639704,38115630,45947890,34773120,"",FALSE,0,-0.39052590224698,0.150200093327202,-0.120162904459889,0.447474086581295,0.329993839749837,FALSE,FALSE
"O00203",23.6984505455085,23.8179490753921,23.8691587260529,23.9479317921458,23.8040903419035,23.8652519547273,"sp|O00203|AP3B1_HUMAN","O00203","AP3B1_HUMAN","AP3B1",1094,"Homo sapiens","1:Experimental evidence at protein level","AP-3 complex subunit beta-1",1,0.999,24,141,117,141,20,24,20,26,26,25,17,18,18,20,20,24,20,24,20,26,26,25,78283064,99266110,74293150,94729704,79677910,84945100,"",FALSE,0,-0.261435032644263,0.106957871428909,-0.077238580607677,0.474894773339444,0.356300549681066,FALSE,FALSE
"O00214",22.1613365869955,21.8253478780693,21.7249404514329,22.0810594759515,21.8574098522444,21.3241824698181,"sp|O00214|LEG8_HUMAN","O00214","LEG8_HUMAN","LGALS8",317,"Homo sapiens","1:Experimental evidence at protein level","Galectin-8",0.9996,0.999,2,15,15,15,3,3,2,4,1,2,3,3,2,4,1,2,3,3,2,4,1,2,6702710,5389254.5,5395638.5,6234374,5400745.5,3775959.5,"",FALSE,0,-0.327950242038381,0.627265654360803,0.149657706161211,0.598888273302303,0.484759891885098,FALSE,FALSE
"O00217",26.3098394921251,26.4309125344118,26.4300974161273,26.7502513325341,26.9743895122604,26.8484377215054,"sp|O00217|NDUS8_HUMAN","O00217","NDUS8_HUMAN","NDUFS8",210,"Homo sapiens","1:Experimental evidence at protein level","NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",1,0.999,7,69,69,69,7,12,12,12,12,14,7,12,12,12,12,14,7,12,12,12,12,14,105510980,107881190,208260780,143472260,177153870,161855340,"",FALSE,0,-0.663898752094442,-0.270920663662733,-0.467409707878588,0.00679403227869134,0.000739105660340348,FALSE,FALSE
"O00231",26.4367286956295,26.3562632203622,26.482386756727,26.529834460877,26.5879682611975,26.5867761212187,"sp|O00231|PSD11_HUMAN","O00231","PSD11_HUMAN","PSMD11",422,"Homo sapiens","1:Experimental evidence at protein level","26S proteasome non-ATPase regulatory subunit 11",1,0.999,27,446,446,446,70,65,76,87,76,72,70,65,76,87,76,72,70,65,76,87,76,72,607936200,769869630,535062820,644823550,463324450,472535040,"",FALSE,0,-0.304554065197148,0.0184206181474768,-0.143066723524836,0.144417958364777,0.0746500679006593,FALSE,FALSE
"O00232",24.8489997518372,24.8405512862997,24.9446730142581,24.9925534001334,25.0454045647909,25.0162070757639,"sp|O00232|PSD12_HUMAN","O00232","PSD12_HUMAN","PSMD12",456,"Homo sapiens","1:Experimental evidence at protein level","26S proteasome non-ATPase regulatory subunit 12",1,0.999,25,295,295,295,47,43,52,48,51,54,47,43,52,48,51,54,47,43,52,48,51,54,231646600,233145180,256961150,252688160,297227200,281172220,"",FALSE,0,-0.297841363234671,0.0178807043726119,-0.13998032943103,0.144088686281453,0.0744405835614377,FALSE,FALSE
"O00233",23.9474028483965,23.9152677857346,23.9538318830565,24.0140998369609,23.9622728675927,24.0988364061022,"sp|O00233|PSMD9_HUMAN","O00233","PSMD9_HUMAN","PSMD9",223,"Homo sapiens","1:Experimental evidence at protein level","26S proteasome non-ATPase regulatory subunit 9",1,0.999,8,93,93,93,16,13,16,17,16,15,16,13,16,17,16,15,16,13,16,17,16,15,68167270,66675456,70889064,71381530,74000856,75584730,"",FALSE,0,-0.247716191598869,0.075245129286792,-0.0862355311560385,0.362709332004067,0.2485963087945,FALSE,FALSE
"O00244",25.9173460815839,26.0056144416645,26.0831487784396,26.0301274241195,25.9564585819298,25.8495472230199,"sp|O00244|ATOX1_HUMAN","O00244","ATOX1_HUMAN","ATOX1",68,"Homo sapiens","1:Experimental evidence at protein level","Copper transport protein ATOX1",1,0.999,6,129,129,129,19,21,23,22,22,22,19,21,23,22,22,22,19,21,23,22,22,22,178970340,179652140,191372480,184547740,174405800,164798460,"",FALSE,0,-0.133637214626712,0.246954596372549,0.0566586908729185,0.617310625698246,0.506053812955638,FALSE,FALSE
"O00264",25.9276143185489,26.2211635980641,25.7488071591992,25.2863992677913,25.368390693025,25.4153208343696,"sp|O00264|PGRC1_HUMAN","O00264","PGRC1_HUMAN","PGRMC1",195,"Homo sapiens","1:Experimental evidence at protein level","Membrane-associated progesterone receptor component 1",1,0.999,16,259,245,259,52,50,40,37,39,41,50,47,37,35,37,39,52,50,40,37,39,41,338022340,442613980,298713920,231514530,224671780,221768900,"",FALSE,0,0.320892665791626,0.897423521292587,0.609158093542106,0.00993241521237582,0.00148390499901362,FALSE,FALSE
"O00267",23.2231252743653,23.1965943227252,23.1689296047316,23.3011827349518,23.3698007306103,23.2766202691928,"sp|O00267|SPT5H_HUMAN","O00267","SPT5H_HUMAN","SUPT5H",1087,"Homo sapiens","1:Experimental evidence at protein level","Transcription elongation factor SPT5",1,0.999,27,201,201,201,34,29,30,42,29,37,34,29,30,42,29,37,34,29,30,42,29,37,106652056,99431040,105741080,108792780,113685864,111005230,"",FALSE,0,-0.274322272254217,0.0350192502989799,-0.119651510977619,0.194125267957263,0.11061118048819,FALSE,FALSE
"O00273",24.5106793090173,24.3853455601068,24.3994501775498,24.4585849654556,24.4836926670224,24.3939838727024,"sp|O00273|DFFA_HUMAN","O00273","DFFA_HUMAN","DFFA",331,"Homo sapiens","1:Experimental evidence at protein level","DNA fragmentation factor subunit alpha",1,0.999,9,112,112,112,15,22,18,21,17,19,15,22,18,21,17,19,15,22,18,21,17,19,78676670,75863980,77577250,83183040,83090300,73986090,"",FALSE,0,-0.180279388401028,0.153088416063371,-0.0135954861688283,0.899122443785063,0.853283867725138,FALSE,FALSE
"O00299",28.1260099659007,28.228305678237,28.2429305853548,28.3471575686105,28.4572021273843,28.3548988188203,"sp|O00299|CLIC1_HUMAN","O00299","CLIC1_HUMAN","CLIC1",241,"Homo sapiens","1:Experimental evidence at protein level","Chloride intracellular channel protein 1",1,0.999,23,575,575,575,96,92,88,99,101,99,96,92,88,99,101,99,96,92,88,99,101,99,1957569700,2201991700,1987885300,2351402000,2623977000,2254767600,"",FALSE,0,-0.356977373267179,-0.0176974836145752,-0.187337428440877,0.0810278820574214,0.0347267191012552,FALSE,FALSE
"O00303",24.8881466171459,24.8185717434481,24.9138085981378,24.768981851347,24.8689811394463,24.8744725262956,"sp|O00303|EIF3F_HUMAN","O00303","EIF3F_HUMAN","EIF3F",357,"Homo sapiens","1:Experimental evidence at protein level","Eukaryotic translation initiation factor 3 subunit F",1,0.999,12,177,177,177,29,28,32,29,24,35,29,28,32,29,24,35,29,28,32,29,24,35,129027736,120341370,171138860,130543530,137551120,169307680,"",FALSE,0,-0.127877536354142,0.199938497449438,0.0360304805476481,0.718001147706328,0.620910479968504,FALSE,FALSE
"O00330",22.533159197135,22.9947213222141,22.4969646799166,21.967588708335,21.952200837653,22.3488984470986,"sp|O00330|ODPX_HUMAN","O00330","ODPX_HUMAN","PDHX",501,"Homo sapiens","1:Experimental evidence at protein level","Pyruvate dehydrogenase protein X component, mitochondrial",1,0.999,9,36,36,36,6,8,6,4,5,7,6,8,6,4,5,7,6,8,6,4,5,7,16703360,29797642,19347554,8174186,7812746,17820200,"",FALSE,0,0.19712655649719,0.973644914288818,0.585385735393004,0.0297605346267978,0.00895736920065017,FALSE,FALSE
"O00391",23.1539375982014,23.1992117790064,22.9428283912633,23.302588306894,23.1569966771369,23.0117882417387,"sp|O00391|QSOX1_HUMAN","O00391","QSOX1_HUMAN","QSOX1",747,"Homo sapiens","1:Experimental evidence at protein level","Sulfhydryl oxidase 1",1,0.999,14,54,54,54,4,7,7,11,15,10,4,7,7,11,15,10,4,7,7,11,15,10,19205740,14970814,27932614,50167508,40804036,35774790,"",FALSE,0,-0.306301940206937,0.189371635341247,-0.058465152432845,0.697659848119634,0.596092138496983,FALSE,FALSE
"O00401",25.6824197542106,25.5906189138663,25.7946784212306,25.7446584350012,25.5394370337151,25.8387569064633,"sp|O00401|WASL_HUMAN","O00401","WASL_HUMAN","WASL",505,"Homo sapiens","1:Experimental evidence at protein level","Actin nucleation-promoting factor WASL",1,0.999,9,60,60,60,10,11,8,11,11,9,10,11,8,11,11,9,10,11,8,11,11,9,93161330,109198300,109809620,110508390,95378584,33605864,"",FALSE,0,-0.253569708152849,0.216812850904756,-0.0183784286240467,0.903372298901771,0.859359447930691,FALSE,FALSE
"O00410",25.0362878280986,25.0853922226509,25.1923977241891,24.9946330279266,24.9280908221617,25.021982943901,"sp|O00410|IPO5_HUMAN","O00410","IPO5_HUMAN","IPO5",1097,"Homo sapiens","1:Experimental evidence at protein level","Importin-5",1,0.999,41,353,329,353,55,63,62,60,58,55,50,58,58,57,54,52,55,63,62,60,58,55,301718000,281307500,282732450,262205800,265886910,268428020,"",FALSE,0,-0.0491188669909264,0.295366187623859,0.123123660316466,0.228402249602583,0.135571719552583,FALSE,FALSE
"O00422",23.1131076800271,23.6614560627497,23.0651477121217,23.3665690142967,23.5077471041668,23.0567359366327,"sp|O00422|SAP18_HUMAN","O00422","SAP18_HUMAN","SAP18",153,"Homo sapiens","1:Experimental evidence at protein level","Histone deacetylase complex subunit SAP18",1,0.999,3,30,30,30,5,5,5,6,5,4,5,5,5,6,5,4,5,5,5,6,5,4,16402774,21901572,14627967,18375296,19796750,14292952,"",FALSE,0,-0.462750332365128,0.401856598899935,-0.0304468667325963,0.913172245676985,0.873090257794216,FALSE,FALSE
