Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	2D_1 Spectral Count	2D_2 Spectral Count	2D_3 Spectral Count	3D_1 Spectral Count	3D_2 Spectral Count	3D_3 Spectral Count	2D_1 Unique Spectral Count	2D_2 Unique Spectral Count	2D_3 Unique Spectral Count	3D_1 Unique Spectral Count	3D_2 Unique Spectral Count	3D_3 Unique Spectral Count	2D_1 Total Spectral Count	2D_2 Total Spectral Count	2D_3 Total Spectral Count	3D_1 Total Spectral Count	3D_2 Total Spectral Count	3D_3 Total Spectral Count	2D_1 Intensity	2D_2 Intensity	2D_3 Intensity	3D_1 Intensity	3D_2 Intensity	3D_3 Intensity	2D_1 MaxLFQ Intensity	2D_2 MaxLFQ Intensity	2D_3 MaxLFQ Intensity	3D_1 MaxLFQ Intensity	3D_2 MaxLFQ Intensity	3D_3 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|Cont_P12763|FETUA_BOVIN	Cont_P12763	FETUA_BOVIN	AHSG	359	Bos taurus	1:Experimental evidence at protein level	Alpha-2-HS-glycoprotein	1.0	0.999	3	7	7	7	3	0	3	0	0	1	3	0	3	0	0	1	3	0	3	0	0	1	1437169.2	0.0	1619703.1	0.0	0.0	3165759.8	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|Cont_P12799|FIBG_BOVIN	Cont_P12799	FIBG_BOVIN	FGG	444	Bos taurus	1:Experimental evidence at protein level	Fibrinogen gamma-B chain	0.7326	0.9821	1	4	4	4	0	0	1	1	2	0	0	0	1	1	2	0	0	0	1	1	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|Cont_P15241|K2M2_SHEEP	Cont_P15241	K2M2_SHEEP		491	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 7C	0.4127	0.9856	4	3	2	20	1	0	1	1	0	0	1	0	0	1	0	0	4	3	5	4	2	2	0.0	1803386.5	1944096.0	0.0	0.0	1465958.6	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|Cont_P15497|APOA1_BOVIN	Cont_P15497	APOA1_BOVIN	APOA1	265	Bos taurus	1:Experimental evidence at protein level	Apolipoprotein A-I	1.0	0.999	4	4	4	4	0	0	0	0	1	3	0	0	0	0	1	3	0	0	0	0	1	3	0.0	0.0	0.0	0.0	2139020.2	9797386.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|Cont_P19001|K1C19_MOUSE	Cont_P19001	K1C19_MOUSE	Krt19	403	Mus musculus	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 19	1.0	0.9986	20	7	7	1335	0	4	3	0	0	0	0	4	3	0	0	0	232	247	231	200	219	206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|Cont_P22629|SAV_STRAV	Cont_P22629	SAV_STRAV		183	Streptomyces avidinii	1:Experimental evidence at protein level	Streptavidin	1.0	0.999	8	19	19	19	0	0	0	16	0	3	0	0	0	16	0	3	0	0	0	16	0	3	1708148.2	0.0	0.0	3.5667635E8	1259711.5	4.1979732E7	0.0	0.0	0.0	6.3986044E7	0.0	1.5518449E7	
contam_sp|Cont_P34955|A1AT_BOVIN	Cont_P34955	A1AT_BOVIN	SERPINA1	416	Bos taurus	1:Experimental evidence at protein level	Alpha-1-antiproteinase	1.0	0.999	3	13	13	13	3	4	4	0	0	2	3	4	4	0	0	2	3	4	4	0	0	2	4560181.0	5330179.5	9443066.0	3091154.0	1474169.4	5096784.0	2829328.8	3255947.0	3938586.5	1913510.5	0.0	1590153.8	
contam_sp|Cont_P50446|K2C6A_MOUSE	Cont_P50446	K2C6A_MOUSE	Krt6a	553	Mus musculus	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 6A	0.0	0.999	15	6	0	474	0	1	5	0	0	0	0	0	0	0	0	0	87	96	88	69	70	64	0.0	3836872.2	3.8106396E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|Cont_P60712|ACTB_BOVIN	Cont_P60712	ACTB_BOVIN	ACTB	375	Bos taurus	1:Experimental evidence at protein level	Actin, cytoplasmic 1	1.0	0.999	52	6517	0	6517	1154	1146	1098	1041	1090	988	0	0	0	0	0	0	1154	1146	1098	1041	1090	988	4.192198E10	4.4695618E10	4.384864E10	3.4493284E10	3.560451E10	3.5707437E10	8.387654E9	8.382698E9	8.72415E9	6.784352E9	6.610322E9	6.606204E9	sp|P60709|ACTB_HUMAN
contam_sp|Cont_P63103|1433Z_BOVIN	Cont_P63103	1433Z_BOVIN	YWHAZ	245	Bos taurus	1:Experimental evidence at protein level	14-3-3 protein zeta/delta	1.0	0.999	27	630	0	718	105	105	94	112	114	100	0	0	0	0	0	0	120	118	108	127	130	115	1.9613489E9	1.7146428E9	1.7472047E9	1.8272407E9	2.2412296E9	1.6503899E9	3.53161E8	3.1917626E8	3.4088957E8	3.4449482E8	3.9395875E8	3.3468954E8	sp|P63104|1433Z_HUMAN
contam_sp|Cont_P68103|EF1A1_BOVIN	Cont_P68103	EF1A1_BOVIN	EEF1A1	462	Bos taurus	1:Experimental evidence at protein level	Elongation factor 1-alpha 1	1.0	0.999	43	2070	0	2070	334	360	346	348	350	332	0	0	0	0	0	0	334	360	346	348	350	332	8.4253773E9	8.921546E9	1.0041656E10	8.3515986E9	8.3756247E9	8.3664056E9	2.049237E9	2.143355E9	2.4528276E9	1.9958563E9	1.9058949E9	1.9625972E9	sp|P68104|EF1A1_HUMAN
contam_sp|Cont_P68138|ACTS_BOVIN	Cont_P68138	ACTS_BOVIN	ACTA1	377	Bos taurus	1:Experimental evidence at protein level	Actin, alpha skeletal muscle	1.0	0.999	36	2	0	4731	0	0	0	0	0	2	0	0	0	0	0	0	847	814	819	775	776	700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P68133|ACTS_HUMAN
contam_sp|Cont_P81948|TBA4A_BOVIN	Cont_P81948	TBA4A_BOVIN	TUBA4A	448	Bos taurus	1:Experimental evidence at protein level	Tubulin alpha-4A chain	1.0	0.999	38	577	0	2200	90	85	98	91	103	110	0	0	0	0	0	0	336	335	388	374	381	386	1.3931003E9	1.2794266E9	1.3432242E9	1.5567336E9	1.4998153E9	1.4301349E9	6.045714E8	5.964834E8	6.141627E8	6.7775917E8	6.493333E8	6.1710586E8	sp|P68366|TBA4A_HUMAN
contam_sp|Cont_Q29443|TRFE_BOVIN	Cont_Q29443	TRFE_BOVIN	TF	704	Bos taurus	2:Experimental evidence at transcript level	Serotransferrin	1.0	0.999	5	11	9	11	0	0	0	4	2	5	0	0	0	3	2	4	0	0	0	4	2	5	2118330.8	5483513.0	5102216.0	8052638.5	1.6745292E7	1.6068466E7	0.0	3027972.2	2678599.5	4010958.5	4518518.0	4402949.5	
contam_sp|Cont_Q2HJ86|TBA1D_BOVIN	Cont_Q2HJ86	TBA1D_BOVIN	TUBA1D	452	Bos taurus	1:Experimental evidence at protein level	Tubulin alpha-1D chain	0.9998	0.999	39	2	1	2282	0	1	0	0	1	0	0	1	0	0	0	0	351	352	397	392	401	389	0.0	0.0	0.0	0.0	2759505.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|Cont_Q2KJ39|RCN3_BOVIN	Cont_Q2KJ39	RCN3_BOVIN	RCN3	328	Bos taurus	2:Experimental evidence at transcript level	Reticulocalbin-3	0.9696	0.9984	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	420730.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q96D15|RCN3_HUMAN
contam_sp|Cont_Q2KJD0|TBB5_BOVIN	Cont_Q2KJD0	TBB5_BOVIN	TUBB5	444	Bos taurus	2:Experimental evidence at transcript level	Tubulin beta-5 chain	1.0	0.999	42	3470	0	3638	570	522	569	609	607	593	0	0	0	0	0	0	601	543	591	644	646	613	1.2600356E10	1.2477063E10	1.4839631E10	1.4386244E10	1.4617314E10	1.3979464E10	1.321584E9	1.2857243E9	1.4167722E9	1.4562563E9	1.4378016E9	1.3478595E9	sp|P07437|TBB5_HUMAN
contam_sp|Cont_Q2UVX4|CO3_BOVIN	Cont_Q2UVX4	CO3_BOVIN	C3	1661	Bos taurus	1:Experimental evidence at protein level	Complement C3	0.9862	0.999	3	3	2	3	1	0	0	0	2	0	1	0	0	0	1	0	1	0	0	0	2	0	2272936.8	0.0	0.0	0.0	5401602.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|Cont_Q3SX14|GELS_BOVIN	Cont_Q3SX14	GELS_BOVIN	GSN	731	Bos taurus	2:Experimental evidence at transcript level	Gelsolin	1.0	0.999	13	8	8	205	1	2	1	1	1	2	1	2	1	1	1	2	31	36	30	38	40	30	3028834.0	4013630.0	5084339.0	1962929.0	4921333.0	3229021.5	0.0	0.0	3049006.5	0.0	2834251.0	0.0	
contam_sp|Cont_Q3SYV4|CAP1_BOVIN	Cont_Q3SYV4	CAP1_BOVIN	CAP1	472	Bos taurus	2:Experimental evidence at transcript level	Adenylyl cyclase-associated protein 1	1.0	0.999	11	52	40	240	8	8	9	8	10	9	6	6	7	6	8	7	40	42	38	40	45	35	9.462662E7	1.0470114E8	9.731324E7	1.1442598E8	1.0484743E8	1.075596E8	7.6616856E7	8.633162E7	7.914883E7	9.720003E7	8.486833E7	8.686027E7	
contam_sp|Cont_Q3ZBD7|G6PI_BOVIN	Cont_Q3ZBD7	G6PI_BOVIN	GPI	557	Bos taurus	2:Experimental evidence at transcript level	Glucose-6-phosphate isomerase	1.0	0.999	8	25	25	233	4	3	3	3	6	6	4	3	3	3	6	6	39	32	29	43	49	41	4.3777252E7	3.9731908E7	4.1876316E7	5.62587E7	8.328803E7	4.387761E7	3.553379E7	3.2733734E7	3.561344E7	4.5995828E7	6.771732E7	3.7625484E7	
contam_sp|Cont_Q5KR48|TPM2_BOVIN	Cont_Q5KR48	TPM2_BOVIN	TPM2	284	Bos taurus	2:Experimental evidence at transcript level	Tropomyosin beta chain	1.0	0.999	23	115	0	496	21	20	19	16	19	20	0	0	0	0	0	0	92	85	84	82	78	75	1.0125247E8	9.172714E7	1.21282856E8	9.698634E7	1.0515472E8	1.2157591E8	4.383811E7	4.018818E7	4.558151E7	3.3617336E7	3.710963E7	3.944463E7	sp|P07951|TPM2_HUMAN
contam_sp|Cont_Q7SIH1|A2MG_BOVIN	Cont_Q7SIH1	A2MG_BOVIN	A2M	1510	Bos taurus	1:Experimental evidence at protein level	Alpha-2-macroglobulin	1.0	0.999	7	9	6	9	0	0	0	0	9	0	0	0	0	0	6	0	0	0	0	0	9	0	0.0	0.0	0.0	0.0	2.4720232E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|Cont_Q8VED5|K2C79_MOUSE	Cont_Q8VED5	K2C79_MOUSE	Krt79	531	Mus musculus	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 79	1.0	0.999	10	30	29	368	7	8	7	3	4	1	7	8	6	3	4	1	71	70	64	57	55	51	2.2383514E7	3.2330438E7	2.4018572E7	1.660513E7	9080615.0	1.6572214E7	1.0535627E7	1.4888276E7	9377669.0	7967669.5	0.0	6173399.5	
contam_sp|Cont_Q95121|PEDF_BOVIN	Cont_Q95121	PEDF_BOVIN	SERPINF1	416	Bos taurus	1:Experimental evidence at protein level	Pigment epithelium-derived factor	0.9722	0.9986	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	749601.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P36955|PEDF_HUMAN
contam_sp|Cont_Q99PS0|K1C23_MOUSE	Cont_Q99PS0	K1C23_MOUSE	Krt23	422	Mus musculus	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 23	0.9852	0.999	4	3	3	11	1	1	0	1	0	0	1	1	0	1	0	0	3	4	2	1	0	1	1.2553741E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|Cont_Q9XSJ4|ENOA_BOVIN	Cont_Q9XSJ4	ENOA_BOVIN	ENO1	434	Bos taurus	1:Experimental evidence at protein level	Alpha-enolase	1.0	0.9989	33	7	5	1542	1	1	1	1	2	1	1	1	1	1	1	0	224	233	220	271	325	269	0.0	1.2574683E7	1594729.9	0.0	2106457.2	2050000.1	0.0	0.0	0.0	0.0	0.0	0.0	
contam_tr|Cont_A0A3Q1M3L6|A0A3Q1M3L6_BOVIN	Cont_A0A3Q1M3L6	A0A3Q1M3L6_BOVIN		367	Bos taurus	1:Experimental evidence at protein level	Uncharacterized protein	1.0	0.999	11	43	43	43	0	41	0	0	2	0	0	41	0	0	2	0	0	41	0	0	2	0	0.0	1.0442311E9	1545404.2	0.0	6784190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_tr|Cont_E1BJK2|E1BJK2_BOVIN	Cont_E1BJK2	E1BJK2_BOVIN	TUBB1	450	Bos taurus	3:Protein inferred from homology	Tubulin beta chain	1.0	0.999	8	6	0	466	1	2	1	1	1	0	0	0	0	0	0	0	74	73	85	73	78	83	5192213.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q9H4B7|TBB1_HUMAN
contam_tr|Cont_G3N188|G3N188_BOVIN	Cont_G3N188	G3N188_BOVIN		218	Bos taurus	4:Protein predicted	Ig-like domain-containing protein	1.0	0.999	2	3	3	3	0	3	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0.0	1.1195888E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_tr|Cont_G5E513|G5E513_BOVIN	Cont_G5E513	G5E513_BOVIN		439	Bos taurus	1:Experimental evidence at protein level	Uncharacterized protein	1.0	0.999	6	8	3	8	0	0	0	0	8	0	0	0	0	0	3	0	0	0	0	0	8	0	0.0	0.0	0.0	0.0	2.373036E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_tr|Cont_Q05B55|Q05B55_BOVIN	Cont_Q05B55	Q05B55_BOVIN	IGK	240	Bos taurus	2:Experimental evidence at transcript level	IGK protein	1.0	0.999	6	29	29	29	0	29	0	0	0	0	0	29	0	0	0	0	0	29	0	0	0	0	0.0	2.7265008E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_tr|Cont_Q1RMN8|Q1RMN8_BOVIN	Cont_Q1RMN8	Q1RMN8_BOVIN	IGL	234	Bos taurus	2:Experimental evidence at transcript level	Immunoglobulin light chain, lambda gene cluster	1.0	0.999	6	14	13	14	0	12	0	0	2	0	0	11	0	0	2	0	0	12	0	0	2	0	0.0	2.6684547E8	0.0	0.0	6666185.0	0.0	0.0	4.817635E7	0.0	0.0	1.5102555E7	0.0	
contam_tr|Cont_Q3MHH8|Q3MHH8_BOVIN	Cont_Q3MHH8	Q3MHH8_BOVIN	AMY2A	511	Bos taurus	2:Experimental evidence at transcript level	Alpha-amylase	1.0	0.999	12	2	2	98	0	0	2	0	0	0	0	0	2	0	0	0	8	2	88	0	0	0	0.0	0.0	2.0459278E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_tr|Cont_Q3ZBS7|Q3ZBS7_BOVIN	Cont_Q3ZBS7	Q3ZBS7_BOVIN	VTN	476	Bos taurus	1:Experimental evidence at protein level	Vitronectin	1.0	0.999	8	54	43	54	13	9	6	4	9	13	10	8	5	2	7	11	13	9	6	4	9	13	4.0198828E7	4.4623492E7	2.9116696E7	1.1838472E7	2.4034264E7	5.5412644E7	1.001553E7	1.0969464E7	8018135.0	3743809.2	8111322.0	1.3903898E7	
sp|A0A075B767|PAL4H_HUMAN	A0A075B767	PAL4H_HUMAN	PPIAL4H	164	Homo sapiens	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase A-like 4H	0.9765	0.9808	3	4	4	546	1	1	1	0	0	1	1	1	1	0	0	1	91	79	98	95	83	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0A0MRZ8|KVD11_HUMAN	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	115	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 3D-11	0.9996	0.999	2	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0.0	1.4542115E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P04433|KV311_HUMAN
sp|A0A2R8Y4L2|RA1L3_HUMAN	A0A2R8Y4L2	RA1L3_HUMAN	HNRNPA1L3	320	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein A1-like 3	0.9999	0.999	30	3	3	1336	0	0	0	2	0	1	0	0	0	2	0	1	237	220	197	226	229	227	3960870.8	5379823.0	0.0	5723973.5	5318648.5	5917804.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A2R8Y619|H2BK1_HUMAN	A0A2R8Y619	H2BK1_HUMAN	H2BK1	122	Homo sapiens	1:Experimental evidence at protein level	Histone H2B type 2-K1	0.9766	0.9988	4	4	4	439	1	0	2	1	0	0	1	0	2	1	0	0	73	93	92	61	61	59	1.739235E7	9489231.0	9641849.0	9893173.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0AV96|RBM47_HUMAN	A0AV96	RBM47_HUMAN	RBM47	593	Homo sapiens	1:Experimental evidence at protein level	RNA-binding protein 47	1.0	0.999	23	270	249	270	43	44	53	43	46	41	40	42	47	39	44	37	43	44	53	43	46	41	1.6421197E8	1.7060077E8	1.9695568E8	1.9339598E8	1.4071938E8	1.4374933E8	1.8397484E7	1.9558558E7	2.0019218E7	1.6713576E7	1.6213235E7	1.6906578E7	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0	0.999	28	230	230	230	34	32	31	40	49	44	34	32	31	40	49	44	34	32	31	40	49	44	9.687657E7	1.0120254E8	1.0987204E8	1.148591E8	1.2348923E8	1.349983E8	9829141.0	9558988.0	9727775.0	9844671.0	1.0850213E7	1.144135E7	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens	1:Experimental evidence at protein level	Extended synaptotagmin-2	1.0	0.999	19	97	97	97	16	19	16	17	18	11	16	19	16	17	18	11	16	19	16	17	18	11	1.0463901E8	1.15506456E8	9.6766024E7	8.864799E7	7.892093E7	7.9314696E7	3.8884816E7	3.6672932E7	3.1300776E7	3.197868E7	3.2539292E7	2.9207248E7	
sp|A0JLT2|MED19_HUMAN	A0JLT2	MED19_HUMAN	MED19	244	Homo sapiens	1:Experimental evidence at protein level	Mediator of RNA polymerase II transcription subunit 19	0.9757	0.9988	1	2	2	2	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1666201.2	2294566.5	1701178.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens	1:Experimental evidence at protein level	Shootin-1	1.0	0.999	5	21	21	21	2	2	2	9	6	0	2	2	2	9	6	0	2	2	2	9	6	0	5878330.0	6116449.0	7425774.0	1.0439488E7	1.4496084E7	7524879.0	4552170.5	3969465.5	4415717.5	5932146.5	5924414.0	4733844.5	
sp|A0PJW6|TM223_HUMAN	A0PJW6	TM223_HUMAN	TMEM223	202	Homo sapiens	1:Experimental evidence at protein level	Transmembrane protein 223	1.0	0.999	3	16	16	16	2	3	3	1	3	4	2	3	3	1	3	4	2	3	3	1	3	4	7367141.0	5496087.0	8932762.0	4073561.5	2463638.2	5009549.5	3453123.2	4648106.0	4288528.0	0.0	0.0	2800148.2	
sp|A1KXE4|F168B_HUMAN	A1KXE4	F168B_HUMAN	FAM168B	195	Homo sapiens	1:Experimental evidence at protein level	Myelin-associated neurite-outgrowth inhibitor	0.9803	0.999	1	2	2	2	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1.0270081E7	8941135.0	1.0841457E7	8441408.0	7711338.0	7991675.5	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	HACL2	632	Homo sapiens	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	1.0	0.999	12	93	93	93	15	20	18	15	13	12	15	20	18	15	13	12	15	20	18	15	13	12	9.032169E7	1.1607748E8	8.6922424E7	6.6279756E7	6.764175E7	6.442068E7	1.874723E7	2.3710974E7	1.6783282E7	1.4228092E7	1.5237514E7	1.3947516E7	
sp|A1L390|PKHG3_HUMAN	A1L390	PKHG3_HUMAN	PLEKHG3	1219	Homo sapiens	1:Experimental evidence at protein level	Pleckstrin homology domain-containing family G member 3	0.9996	0.999	2	2	2	2	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L3X0|ELOV7_HUMAN	A1L3X0	ELOV7_HUMAN	ELOVL7	281	Homo sapiens	1:Experimental evidence at protein level	Very long chain fatty acid elongase 7	0.9996	0.999	2	19	19	19	4	4	4	2	3	2	4	4	4	2	3	2	4	4	4	2	3	2	8386786.0	1.1028357E7	7778355.5	3955856.8	3503369.5	3763795.0	5141361.0	6574711.0	4665309.0	2460143.5	2194882.5	2272142.2	
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	Homo sapiens	1:Experimental evidence at protein level	NBAS subunit of NRZ tethering complex	1.0	0.999	7	25	25	25	3	4	1	7	6	4	3	4	1	7	6	4	3	4	1	7	6	4	2411992.5	9630832.0	2341427.5	6.3078436E7	4.7468988E7	5.1116972E7	0.0	2.6227754E7	0.0	1.7848004E7	1.6641741E7	2.069592E7	
sp|A2RU49|HYKK_HUMAN	A2RU49	HYKK_HUMAN	HYKK	373	Homo sapiens	1:Experimental evidence at protein level	Hydroxylysine kinase	0.9803	0.999	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	807349.25	0.0	1165725.5	1343784.8	0.0	0.0	0.0	0.0	0.0	0.0	
